Sentiment,SentimentText
1,There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
0,"told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
1,trae is so sweet! He just bought me a new baithing suit!! Wove him
1,"True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
0,u guys knw whyy
0,very much so
0,waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
0,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
0,"Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
0,where is my picture i feel naked
0,Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
0,- Why must people be so picky. I mean 6 hours work and no dice!? whatï¿½s up with that! http://tumblr.com/xsg1m3ufn
0,Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
1,wide awake   NOT!!!
1,yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
0,- You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
0,you'll always be my one and only...  [12*23*2007]
0,#3turnoffwords this shit sucks
0,#asylm J2 panel is over. Guess it's back to normal life.
1,#poemsunder140 ....started by @shannonelyse1
0,#squarespace brighten my bad day! i never win anything...
0,"#Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
0,#twenty20
1,"&lt;--- That is all, and believe me.. it's enough!"
1,&lt;3 goooood timessss
0,&lt;3 GrAdUaTE 09&lt;3
0,"&quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
0,&quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far
0,&quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
1,&quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
0,&quot;I want you so bad it's driving me  mad&quot;
1,&quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
1,&quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore ï¿½ Decode @Daninho502  ? http://blip.fm/~5ytke
0,&quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel)
0,"&quot;well, the truth is I miss you so&quot;- Coldplay"
0,(tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
0,(unsure) (annoyed) http://plurk.com/p/1230lz
0,(via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
0,*BeautifulyLost
0,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!
1,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world!
1,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity.
0,". . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
1,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much ."
1,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*
0,.. i wantt hiim soo badd !!
0,".. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
0,... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...
0,... Rained out truck race
0,... Why am I feeling worse??? F!!!
0,.... Feeling pain and happiness at the same time. How confusing!
1,..... hot choco is the best!
0,....in a shirt and panties. celulite
0,..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
0,..y everything is so hard? :/
0,.bueno good bye. good night
1,: Beach day with Scoobs. =( : Still no phone.
0,": Let's have fun,. When I give ya what I give ya."
0,:[ I don't want to move!!!
1,":-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
1,@ canaveral national  seashore
1,@ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
1,@ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone.
0,@ the train crash in DC .....
1,' @ Thestreetforce  '
1,@3sixty5days makes me smile.
1,"@adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
1,"@adbert: &quot;#Video [Woody Woodpecker â€“ The Barber of Seville] I am great, @klitoria, just wishing to be a ch... â™« http://blip.fm/~7g6r0"
1,@alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
0,@alvinkschneider what happened to angels and demons and lions and tigers and bears!?
0,@AmericanWomannn Well that sure minimizes the impact...LOL
1,"@ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
1,@CharlottegC I just saw ur mum
1,@chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
1,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024"
1,@copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7
1,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
1,@cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
1,@dandelionas is making fettucini and garlic bread!
1,@danregal  tell @pfont i said Happy BDay!!
0,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML"
1,"@DirtyRose17  told you, you would sweep haha :-p"
0,@dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
0,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
0,"@emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
0,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics"
0,@georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
0,@Glamicole ..now who wud make this beautiful plc cry?
0,@HaterMagazine: @damienrandle it is now the outer fat kid.
1,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
1,"@hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... â™« http://blip.fm/~7s7mn"
0,"@hellopnsdear se MORREA a mi Joseph, no no se vale."
1,@hidingesther @linininiooh are my future rooooooooomies! NYC holleR
1,@Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
1,@iamyas awesome
1,@ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
1,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them!
1,- @joaoqalves Think again   Talvez seja do Ãªnfase na cifra. Mas atenÃ§Ã£o: &quot;Security is a chain; it's as strong as the weakest link â€¦
0,@jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
0,- @JuicyJones I know.. SOLD OUT though.
1,- @kaitymarine - watch E3 @MCMudkips - Will do
1,- @katherineholden Thanks K! Here's hoping! Pretty nervous though...
0,@katiedontcry should get on aim and talk to me. i miss her.
1,@kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
1,"@khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y"
0,@kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL
0,@Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!
1,"@LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
0,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek*"
0,@lolife4life where r u tonite im still awake!
0,@lorinimus hates Bebot App
1,"@masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
1,@MelodyChase
1,@mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
1,@michaelsarver so do you give him every inch of your love every night?
1,@mimbles @WParenthetical
1,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter.
1,"@MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
1,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge
0,@Oneshine What are u referring to?
0,@plmusic22
1,"- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol"
1,@RAPPUBLICIST HAPPY MOTHERS DAY!
1,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !!"
0,I miss her so much already...
0,just practising.....how I feel
0,Miss my love Jamie
0,FUCK YOU!
0,my head feels like a bowling ball
0,my heart hurts badly...
0,FS keeps crashing when I try to load Bungie plane.
0,My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!
0,....    My mood is currently BLAH . Sitting in a parking lot
1,I am happy
0,...that is all.
0,everyone went home. and not everyone was even here! ~CMF &lt;3
0,fed up....
0,"fuck, fuck, fuuuuck!"
0,"Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!"
0,@Beansummer
0,"Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt"
0,bed time now....
1,Faltam 4 dias para o World Drawing day
0,"Friends like these ... no thanks, I'm not fake! ^ ^"
1,haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.
0,i think my bf is cheating on me!!!!
1,i wanna play with my camera but i will settle for playing with iv's and heart monitors
0,i want an octo drive
0,"I want to display my pretty voltron!  Upside, I get two pretty voltrons!"
0,i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work
0,IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight
0,--- is our response to what happened today. and that is all.
0,"J, you are right... it hurts."
0,"kinda but not really, but kinda"
0,"let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back"
1,lol all these #robotpickuplines are hilarious
1,"man, oh man     (i should punch myself in the head, but im ok with that)"
1,"my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
0,"No man is worth your tears, and the one that is won't make you cry!"
0,rain rain go away!
0,storms are scary!
1,such a beautiful satisfying day of bargain shopping. loves it.
0,Tell those girls your clocking out lol
1,thank god today is friday !!! I love Ti Ti! &lt;3
0,the batt to my internet connection died.  Guess its back to the mobile!
1,thrilled about being at work this morning
1,we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
0,www.apple.com/iphone now has it for the 18th
0,#squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot
0,(unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l
0,exhausted
0,i want some ben&amp;jerrys cake batter please ugh
1,my life is very lazzzzyyyy!!!!!!!            ***********
0,"wish ella was on or somebody,,,,"
1,ish in a good mood .....tlk to me
0,i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean
0,what the hell BBC?
0,#canucks
0,I dont like this weekend.. Huhuhu ( (
0,I'll get on it right away!
1,-     J + A MADE NiCE..... TWiCE!                     for now ;]
1,loves life atm!   its brilliant XD
1,who else is in a happy mood?? =D
1,!BYE EVERYONE!
0,...lonely night
0,blue does not work
0,geez I'm feeling their pain
0,i miss my summertime daley.
0,"on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal"
1,SO FAR SO GOOD!
1,TODAY WAS A GREAT DAY!!!
0,UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
0,#Battleground
1,"a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot."
0,Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt
0,Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html
0,eh  must leave New Mexico and soon!
0,fail maths  i knew it i was just too slow
0,"From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries"
0,fuck sake. Why can things never work out for me?
0,"-   going in town todaÑ‡ with mÑ‡ cousinnn, [Ñ‡]     netball match was cancelledd"
0,hoping to see my baby girl
0,i don't even know.
0,I just lost a member of my family
0,I'm SICK of bedtime battles
0,i'm so cold this morning......       i have chills all over.....
0,Just...
0,No no no. Tonight goes on the books as the worst SYTYCD results show.
0,no shopping
0,"- Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
0,-- that's an EPIC sad face.
0,This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c
1,Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy
0,wanna go meet wifey but can't....  this sux   :'(
0,Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata
1,"yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY"
0,#IranElection - no one realizes how deep this goes.
0,&gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )
0,"&lt; that is the story of my life, a whole bunch of frownies!"
0,I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME
0,i just want to hear from you. i guess that's asking too much..
1,Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
0,i really2 don't like this condition. sucksssssss
0,"Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!"
0,rinitis sucks!!!!!
1,thanks for being the bestttttttttttttttttttt J-dawg
0,&gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.
0,&lt;- but mustache man is not that desperate
0,&lt;--------- my face because i'm missing zoro tonight.
0,@riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*
0,angry
1,praise God for this beautiful day!!!
0,sry matt 2 hear that (
0,what the fucccckkkkkkkkkk
0,Bye World!!!!!!
0,i couldnt even have one fairytale night
0,I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.
0,"My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck"
0,"NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess"
0,Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
0,(must i say more?)
0,*old me's dead and gone*
0,... have to go now ??? 13 more minutes   ... please please please
1,@Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg
1,@PERFEKTnCHANCE (Chance) is Boo #29
1,@Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.
0,awwwww i really hate this.
0,bad day.
0,bad day.....damn you @311. What kind of ticket sale was that.....
0,Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc
0,bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!
0,can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure
0,Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk
0,CRY CRY CRY
0,F**kn day...
0,Goodnight
0,grandma is very sick. not doing well. going to the emergency room.
1,had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!
0,I am going to shed tears if the Cavs have to go home tonight. Like seriously
0,i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years
0,I hate you forever.
1,I have passed 70-542 exam today
0,i missed it
0,i still Feel like a Douchebag
1,I want to write a song. I think I will.
1,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'.
1,@SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS
1,"- @SlashHudson you tease, i wanna hear the tracks!!"
0,@sommacolada never answering my im's
1,@soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces
0,@squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace
1,@SRenaeNae... What is 'FML'
1,@sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan 06/04/2009 ---... â™« http://blip.fm/~7qdf0
1,@Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H
1,@THEDIAMONDCOACH  Im sure he'd love that LOL
1,@theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm
0,@TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.
0,@va_songstress broke my twitter..
0,@warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc
1,"@weselec My avatar can't figure out what you people are, either. http://tr.im/jj70"
0,@xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?
1,"@yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l"
0,@zochula just yelled at me for picking apple store over food.
1,@ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk
1,=&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7
0,1 of me cats kittens died only 3 days old too..RIP ming.
0,1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb
1,"- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body."
0,3 hrs on da phone...lol dude is hilarious
1,- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish
0,5 gb of video to upload to utube :O dam sony vegas making it so big
0,50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?
0,a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now
1,A blessed sunday everyone!
0,- a couple years of sickness all piled up to this one day
1,A dog riding the bicycle http://bit.ly/gvMzD
0,"a fly just landed in my green chile stew. i've never been big on killing bugs, but this asshole asked for it. There goes my appetite"
1,A problem shared is a buck passed
0,A_ just got the same handshake in her meeting. Vibe here sucks
1,à¸”à¸¹à¹?à¸šà¹„à¸•à¹‹ hitech
0,(Jonah:whats a tweet!?) SHARON!!!!!!!!!!!!
0,alice is beating be at my scooby doo board game!
1,am quite tired can't wait till wwe at burswood &lt;3
0,anyone have any advice on how to cope with a break up?
0,"arrrrrrrgggggggghhhhhhhh!!!!!!!!!!  that's it, all lines of communications are temporarily suspended!"
1,"-  awake, and ready for the day"
1,Being NASTY in the studio with my woman!!!  Go SLEEPIES!!!
0,but i understand.
0,cars being inspected today gonna cost me over 600 dollars
0,e is OUT!
0,everythings wrong.
0,Exercise 2 build muscle mass is only thing that speeds metabolism: http://tinyurl.com/bvagbj
1,feeling ok for the first time in a few days. thank you!
1,"found a new way to text him, yey!"
0,friends dying is just horrible.
1,going for a paddle 2moz
1,Good Nite.  I hope Grandma visits my dreams again tonight.  Last Night was uplifting...  I miss her.
1,Goodbassplayer... that is funny.... ;)  OilIPO.... I hope the people that will bring us good things are started early this week...
0,He was the best there.
0,Hungover........ and craving chocolate! OMG how funny was the pub last night!! LOL
0,I dont want my sister to leave me for the whole summer!
0,i hope everyone is at church so i can just go to my concert in peace on wed.  dont have to worry about rushing back to church to visit
0,- i just spilt the last of my jordans cereal on the floor iâ€™m distraught http://tumblr.com/xxw2329lh
0,I miss my family and friends.
0,I see I missed the nectar sucking dirty talk ;)
0,I want a freaking puppy now! A cute little black yorkshire terrier.
0,- I want irissa back http://tumblr.com/xpn1wrj48
0,I'm glad diversity got through...but what about stavros!
1,I'm here to tell ya ... very yummy.  Decided to go on a hunt for blender drinks ... know any good ones?
0,I'm out of Nutella
0,is it rlly tht serious? I'm abt to go thru my fonebook...
1,is listenin to my new fav band more amor
0,it is on environmental studies and driving me mental
0,I've always seen bits &amp; pieces of Shottas. now I've seen the whole movie...it ends sooooo sad   I'm gonna cry.
1,Just another day in paradise. ;)
0,Just found a bone in my chicken nugget    Not cool
0,"- Like I said, my back still fucking hurts and Iâ€™m going to complain about it like no oneâ€™s business.... http://tumblr.com/x6n25amd5"
1,love you! &lt;333
0,my aunties dog is getting put down  hes my dogs brother aswell
0,"- my head feels like its going to explode - mmm, what a horrendous image... the mess!"
0,my head is killing meee
